PartcipantID:1
RandID:1
InitialTimeStamp:22-23-41-526
instanceNumber;capacity;profit;weights;values;id;type;sol
1;330;476;45,96,95,95,63,59;91,79,78,53,19,76;46-0.44-0.68;high_prop;0
2;338;386;86,55,92,81,91,41;69,15,70,74,90,25;79-0.44-0.68;high_prop;0
3;295;310;62,94,95,34,45,94;68,38,34,55,34,28;13-0.44-0.68;high_prop;0
4;308;458;59,82,56,52,88,27;24,92,38,71,95,65;75-0.44-0.68;high_prop;0
5;291;456;67,59,90,64,62,37;75,17,63,83,48,75;21-0.44-0.68;high_prop;0
6;326;422;57,74,89,55,32,92;84,54,77,30,15,78;81-0.44-0.68;high_prop;0
7;313;410;81,29,86,62,69,92;62,32,70,37,20,72;43-0.44-0.68;high_prop;0
8;246;437;47,51,42,26,63,18;58,79,78,54,59,23;95-0.44-0.68;high_prop;0
9;265;362;52,65,80,23,70,12;37,51,14,23,26,46;24-0.44-0.68;low_prop;1
10;257;405;25,19,34,34,86,48;30,26,46,97,84,90;0-0.44-0.68;low_prop;1
11;189;378;52,28,50,47,38,58;42,35,10,86,49,41;39-0.44-0.68;low_prop;1
12;282;361;13,58,76,92,50,26;80,13,24,62,42,71;2-0.44-0.68;low_prop;1
13;229;333;17,39,76,63,17,13;45,60,48,75,10,74;85-0.44-0.68;low_prop;1
14;270;382;48,87,83,37,84,11;81,11,97,73,91,13;93-0.44-0.68;low_prop;1
15;283;380;36,74,41,18,95,88;41,64,36,83,12,85;11-0.44-0.68;low_prop;1
16;260;456;45,14,41,95,21,52;20,75,92,78,78,88;92-0.44-0.68;low_prop;1
17;316;561;67,90,81,87,23,39;81,38,89,77,33,98;35-0.44-0.68;high_prop;0
18;272;545;53,42,15,41,68,70;59,81,85,54,75,41;96-0.44-0.68;high_prop;0
19;278;554;45,78,15,86,57,47;49,57,91,51,92,58;80-0.44-0.68;high_prop;0
20;331;601;93,43,70,71,66,84;87,32,85,76,96,79;37-0.44-0.68;high_prop;0
21;307;536;64,62,37,64,70,66;83,48,75,91,97,34;18-0.44-0.68;high_prop;0
22;329;417;67,81,88,79,29,74;16,63,47,86,55,35;97-0.44-0.68;high_prop;0
23;342;600;68,86,12,94,50,88;97,60,58,67,97,55;52-0.44-0.68;high_prop;0
24;337;522;48,82,69,82,51,98;57,94,11,88,52,90;8-0.44-0.68;high_prop;0
25;359;484;38,95,59,90,77,68;50,26,95,19,48,22;95-0.44-0.68;low_prop;1
26;354;352;96,35,70,69,74,42;37,24,32,33,57,98;55-0.44-0.68;low_prop;1
